name,reference
Ποπλίου Αἰλίου Ἱλαριανοῦ,"12.535.9"
Ποπλίου Αἰλίου Καλλικράτους,"8.84.2"
Τίτος ··· Αἴλιος Ζωτικὸς,"2.312.1"
Τίτου Αἰλίου Ἀδράστου,"11.223.10"
Τίτου Αἰλίου ··· διανοῦ,"13.402.1"
Τίτου Αἰλίου Ἐπαφροδείτου,"12.411.2"
Τίτου Αἰλίου Μ···,"12.920.i.a.7"
Αἰμιλίας Μελτίνης_Ἀλεξάνδρου,"14.4.1"
Αἰμιλίου Ἀριστέου,"13.604.1"
Αἰμιλίου Ὑψικλέους,"1.159.8"
Αἰμιλίου Ὑψικλέους,"12.532.15"
Αἰνείου,"12.537.5"
Αἰνείου,"12.626.6"
Αἰνείου,"12.1109.4"
Αἰνείου,"12.1109.6"
Αἰνείου,"12.1109.7"
Ἀρτέμωνος Αἰνείου,"12.1109.3"
Σεπτιμίου Χάρητος Αἰνείου,"1.187.3"
Αἰνήου,"5.108.7"
Αἰνήου,"5.109.5"
Τιβέριον Κλαύδιον Ἀπολλώνιον Βερονεικιανὸν Ἀκασσῶνα,"13.152.17"
Τιβερίου Κλαυδίου Ἀπολλωνίου Βερονεικιανοῦ Ἀκάσσωνος,"13.616.17"
Ἀκτίου Διογενιανοῦ,"11.32.6"
Ἀκυλείνου,"5.211.2"
Αὐρήλιος Ἀκυλεινος Ἀκυλεινοῦ,"13.101.3"
Αὐρήλιος Ἀκυλεινος Ἀκυλεινοῦ,"13.101.4"
Αὐρήλιος Ἀκυλεινὸς Πολυχρονίου_Κλαδέου,"13.101.1"
Ἀλβῖνε,"4.21.1.vi.1"
Ἀλβῖνε,"4.21.1.viii.4"
Ἀλβῖνε,"4.21.1.ix.5"
Ἀλβῖνε,"4.21.1.x.2"
Ἀλβῖνε,"4.21.1.xvi.3"
Ἀλβῖνε,"4.21.1.xvii.1"
Ἀλβῖνε,"4.21.1.xix.3"
Ἀλβῖνε,"4.21.1.xx.3"
Ἀλβῖνον,"4.20.2"
Ἀλβῖνος,"4.21.1.xiii.1"
Ἀλβῖνος,"4.21.1.xv.1"
Ποπλίῳ Ἀλβίῳ Ἀτειμήτῳ,"12.26.c.14"
Ποπλίῳ Ἀλβίῳ Ἀτειμήτῳ,"12.26.c.16"
Ποπλίῳ Ἀλβίῳ Ἀτειμήτῳ,"12.26.c.23"
Ἀλένξανδρος Ζήνωνος,"12.1017.3"
Ἀλεξάνδρα,"13.109.a.9"
Ἀλεξανδρᾶς,"11.61.1"
Ἀλέξανδρ α ος,"13.109.a.5"
Ἀλεξάνδροιο,"3.4.ii.2"
Ἀλέξανδρος,"8.21.1"
Ἀλέξανδρος,"8.605.1"
Ἀλέξανδρος,"11.55.b.50"
Ἀλέξανδρος,"15.217.1"
Ἀλέξανδρος Ζήνωνος,"2.13.b.1"
Ἀλεξάνδρου,"12.303.c.2"
Ἀλεξάνδρου,"12.319.7"
Ἀλεξάνδρου,"12.319.19"
Ἀλεξάνδρου,"13.109.a.2"
Ἀλεξάνδρου,"13.406.8"
Ἀλεξάνδρου,"14.4.1"
Ἀλεξάνδρου Ἀπολλωνίδου,"12.312.5"
Ἀλεξάνδρου ···_··· ···,"12.1113.3"
Ἀλεξάνδρου_Ἀδράστου Σαλβίου,"13.150.2"
Ἀλεξάνδρου_Ἑκαταίου,"13.109.a.10"
Αὐρήλιοι Ἀλέξανδρος,"13.109.a.8"
Μάρκου Αὐρηλίου Ἀλεξάνδρου_Ἑκαταίου_Διονυσίου_Ζήνωνος τρὶς_Ἑκαταίου Χάρμου,"13.109.a.1"
Ἀλύπου_Ἀδράστου,"11.10.1"
Ἀλύπου_Δε··· νιος τρὶς_Ἀπολλωνίου,"15.248.2"
Ἀμαζονίου,"11.55.b.61"
Αὐρηλία Ἀμαζονὶς,"12.521.19"
Ἀμάντιος Χαρίνου,"11.55.b.12"
Ἀμαχίου,"11.55.a.i.18"
Ἀμιας,"5.112.1"
Ἀμιὰς Διονυσίου φύσι δὲ Ἀδράστου_Μόλωνος Ὀλυνπιὰς,"1.4.4"
Ἀμιὰς Διονυσίου φύσι δὲ Ἀδράστου_Μόλωνος Ὀλυνπιὰς,"1.6.5"
Αἰλίων Ἀμμίας,"13.103.2"
Ἀμμία,"1.135.1"
Ἀμμία,"2.312.2"
Ἀμμία,"11.12.4"
Ἀμμίᾳ Ἀδράστου_Ἀπολλωνίου,"12.314.7"
Ἀμμία Ἀριστείδου_Ζήνωνος,"11.34.2"
Ἀμμία Ἑρμογένους_Ἀπολλωνίου_Δημητρίου,"7.8.14"
Ἀμμίαν,"15.265.4"
Ἀμμίαν Ἀττάλου_Πυθέου,"12.5.4"
Ἀμμίαν Φανίου_Μύωνος,"12.1002..ii.1"
Ἀμμίας,"11.3.2"
Ἀμμίας,"11.12.2"
Ἀμμίας,"12.314.9"
Ἀμμίας,"12.1002..iii.2"
Ἀμμίας,"15.257.2"
Ἀμμίας_Ἀριστοκλέους_Ἀρτεμιδώρου,"12.706.13"
Ἀμμίας_Ὑψικλέους_Ὑψικλέους_φύσει Ζήνωνος Ὑψικλίδος,"12.712.2"
Αὐρηλία Ἀμμία,"12.906.3"
Αὐρηλία Ἀμμία,"15.321.16"
Αὐρηλία Ἀμμία Ζήνωνος δ_Χρυσίππου,"12.534.18"
Αὐρηλίας Ἀμμίας,"13.613.2"
Νέαιραν Μενεκλέους Ἀμμίαν,"13.301.i.4"
Οὐλπίας Ἀμμίας,"13.2.7"
Αἴλιον Α Αὐρήλιον Ἀμμιανὸν Παπίαν υἱὸν Μ. Αἴλιον Αὐρήλιον Ἀμμιανοῦ_Παπίου_Παπίου_Μαρίωνος_Δημητρίου_Ἀντιόχου Γλύκωνος,"12.21.3"
Αἴλιον Αὐρήλιον Αμμιανὸν Παυλεῖνον υἱὸν Αιλίου Αὐρηλίου Παπίου Τατιανοῦ,"12.22.7"
Ἀμμιανὸν,"13.307.1"
Ἀμμιανὸς χιλᾶς,"11.55.b.29"
Ἀμμιανοῦ_Παπίου γ ···_Μαρίωνος Παπίου,"12.326.15"
Μ. Αἴλιον Αὐρήλιον Ἀμμιανοῦ_Παπίου_Παπίου_Μαρίωνος_Δημητρίου_Ἀντιόχου Γλύκωνος,"12.21.4"
Τιβέριον Κλαύδιον Ἀντώνιον Διογένην Ἀμμιανὸν υἱὸν Τιβερίου Κλαυδίου Ἀντωνίου Δομετι νοῦ Ἑρμίου,"12.1019.4"
Ἀμμιὰς Διονυσίου φύσι δὲ Ἀδράστου_Μόλωνος Ὀλυνπιὰς,"1.5.5"
Αὐρήλιον Ἀμμιὰν Δημέου_Χρησίμου Μύρτον,"15.333.1"
Ἀμπελίῳ,"4.202.i.2"
Φλαβίου Ἀμπελίου,"2.19.1"
Φλαουίου Ἀμπελίου,"12.101.ii.2"
Ἀμύντας Μένητος,"13.202.1"
Ἀμύντου,"13.202.3"
Μενέστρατος Ἀμύντου,"13.202.4"
Ἀμφιανοῦ,"11.55.b.8"
Ἀναστάσιος,"1.14.a.1"
Ἀναστασίου,"1.14.c.1"
Ἀναστασίου,"1.15.1"
Ἀνατόλι ς ···,"1.18.1"
Ἀνδρονεικιανοῦ ὑιὸν Ἀνδρέαν,"11.222.3"
Ἀνδροκλέους,"8.85.ii.1"
Ἀνδρονεικιανοῦ,"11.222.1"
Ἀνδρόνεικος,"5.210.ii.1"
Ἀνδρονείκου_Παρδαλᾶ_Παπίου,"8.39.3"
Ἀνδρονείκου_Παρ δαλᾶ ···_Παπίου,"12.104.13"
Μᾶρκον Ἀντώνιον Ποπίλλιον Ἀγελάου ἀρχιερέως υἱὸν Ἀνδρόνεικον Φλαβια νόν,"5.10.i.4"
Ἀνδρονικοῦ_Φοιβερίου,"10.3.V.i.1"
Ἀνδρονίκου_Παρδαλᾶ_Παπίου,"12.104.4"
Ἀντώνιος Ἀνδρόνικος,"12.932.14"
Φλάβιος Ἀνδρόνικος,"2.113.2"
Ἀνδρωνος,"11.217.3"
Ἀνδρῶνος,"12.614.7"
Ἄνδρωνος,"12.803.a.11"
Ἄνδρωνος,"12.905.1"
Ἄνδρωνος,"12.905.10"
Ἄνδρωνος,"15.249.3"
Ἄνδρωνος,"15.260.2"
Ἀνδρῶνος Ἀττάλου,"4.201.12"
Ἄτταλος Περείτου_Δημητρίου Ἄνδρων,"5.201.1"
Ἀνθέμιε,"4.310.i.3"
Ἀνιήσσις,"8.27.11"
Ἀνίκητος,"12.622.1"
Τιβερίου Κλαυδίου Ἀντέρωτος,"11.33.2"
Ἀντιγόνου,"10.11.R.1"
Ἀντιδωρίδου,"12.215.40"
Ἀντίοχος,"13.3.1"
Ἀντίοχος,"13.3.2"
Ἀντίοχος,"13.3.7"
Ἀντίοχος,"13.3.7"
Ἀντίοχος βουλευτής,"11.55.b.37"
Ἀντιόχου,"12.21.8"
Ἀντιόχου,"13.3.1"
Ἀντιόχου_Ζήνωνος,"13.112.7"
Ἀντιόχου_Σωπόλεως,"12.327.2"
Ἀντώνιον Φλάβιον Μητροδώρου υἱὸν Ἀντίοχον,"12.35.3"
Ἀντώνιος Ἀντίοχος,"13.156.2"
Ἀντωνίου Ἀντιόχου,"13.156.1"
Μάρκου Αὐρηλιου Ἀντιόχου_εισα ···,"7.15.3"
Περείτου του_Ἀντιόχου,"8.3.a.4"
Ἀντίπατρος,"4.3.2"
Ἀντίπα τρος,"11.206.1"
Ἀντίπατρος Ἀδράστου,"8.2.b.i.2"
Ἀντίπατρος Μήνιδος,"12.404.i.1"
Ἀντιπέος βουλευτής,"11.55.b.37"
Ἀντιπέος Ἑρμήου,"11.55.a.i.24"
Ἀντωνείνου,"12.1101.13"
Ἀντωνείνου,"13.201.ii.2"
Μάρκου Ἀντωνείνου Ἐπαφροδείτου,"12.326.18"
Αἰλία Ἀντωνία Νείκη,"11.38.2"
Ἀντωνι···,"12.1208.a.2"
Ἀντωνία,"13.308.3"
Ἀντωνία Δαμοκράτεια,"13.3.1"
Ἀντωνία Καλλινιανὴ Χαριδήμου,"13.121.1"
Ἀντωνίαν Λουκιου Ἀντωνίου Φλαβιανοῦ θυγατέρα Φλαβιανὴν,"12.105.24"
Ἀντωνίαν Νικοτίμου θυγατέρα Τατίαν,"12.207.11"
Ἀντωνίαν Νικοτίμου θυγατέρα Τατίαν,"12.207.14"
Ἀντωνίας Εἰφιανάσσης,"13.156.1"
Ἀντωνίας Σελευκείας,"8.223.1"
Αὐρηλία Φλαβία Ἀντωνία Ἐλπὶς Νεικίου,"11.217.1"
Ἰουλία Ἀντωνία,"12.105.19"
Κλαυδία Ἀντω νία,"4.1.i.2"
Κλαυδία Ἀντω νία,"4.1.ii.2"
Κλαυδία Ἀντω νία,"4.1.iii.2"
Κλαυδίαν Ἀντωνίαν Τατιανὴν,"2.13.a.4"
Κλαυδίαν Ἀντωνίαν Τατιανὴν,"12.323.2"
Λουκία Ἀντωνία Αὐρηλία Ἀρίστη Καλλίου,"13.612.2"
Τιβερία Ἰουλία Ἀντωνία Λητωὶς,"12.535.18"
Φλαβία Ἀντωνία Ἀβασκαντεῖνα,"12.508.6"
Λουκία Ἀντωνιάνη,"13.612.1"
Ἀντωνῖνος θεοσεβής,"11.55.a.i.20"
Ἀντώνιον Καρμίνιον Ποπίλιον Ἀγέλαον,"15.364.15"
Ἀντώνιον Λυσίμαχον,"12.207.12"
Ἀντώνιον Φλάβιον Μητροδώρου υἱὸν Ἀντίοχον,"12.35.1"
Ἀντώνιος,"1.175.2"
Ἀντώνιος,"8.29.3"
Ἀντώνιος Ἀθη ··· ν αγόρας,"13.156.2"
Ἀντώνιος Ἀνδρόνικος,"12.932.13"
Ἀντώνιος Ἀντίοχος,"13.156.2"
Ἀντ ώνιος Νεικόμαχος,"12.931.14"
Ἀντώνιος Πρίσκος,"2.110.ii.1"
Ἀντώνιος Τατιανὸς,"8.405.6"
Ἀντώνιος Τατιανὸς,"8.406.ii.3"
Ἀντωνίου Ἀντιόχου,"13.156.1"
Ἀντωνίου Αὐρηλίου Εὐ ελπίστου,"15.364.27"
Ἀντωνίου Κλαυδίου Νεικομάχου,"1.189.17"
Ἀντωνίου Κλαυδίου Νεικομάχου,"12.644.16"
Ἀντωνίου Νεικομάχου,"1.189.12"
Ἀντωνίου Νεικομάχου,"12.644.13"
Ἀντωνίου Πρίσκου,"4.10.8"
Ἀντωνίου Πρίσκου,"4.11.11"
Ἀντωνίου Πρίσκου,"5.217.9"
Ἀντωνίου Φλαβίου Μητροδώρου,"12.35.21"
Ἀντωνίῳ,"8.29.2"
Αὐρήλιον Ἀντώνιον Νεικόμαχον Βλάστον,"12.922.5"
Αὐρήλιος Ἀντώνιος Δημοσθένης,"13.140.2"
Κλαυδίου Ἀντωνίου Ἀττάλου,"11.32.9"
Κλαυδίῳ Ἀντωνίῳ Ἑρμείῳ,"13.10.1"
Λούκιον Ἀν τώνιον Ἑρμοῦ υἱ ὸν Καρπιώνα Αὐ ρηλιανὸν,"1.171.a.4"
Λούκιον Ἀντώνιον Κλαύδιον Δομετεῖνον Διογένην,"2.17.2"
